,50 Hertz,Amprion,TenneT,Transnet BW
2013,,,,
2014,,,,
2015,8396,9002,14835,5038
2016,8901,9334,15156,5295
2017,9749,9982,15524,5579
2018,10414,10570,16010,5810
2019,10676,10343,16500,5750
